# ATNF Pulsar Catalogue periods and characteristic ages.
# Source: Manchester, Hobbs, Teoh & Hobbs 2005, AJ 129, 1993,
#   VizieR B/psr (CDS catalogue B/psr).
#   https://cdsarc.cds.unistra.fr/viz-bin/cat/B/psr
# Downloaded 2026-08-17 via VizieR Harvard.
#
# One row per pulsar that has both a barycentric period P0 and a
#   characteristic age Age = P/(2Pdot). Pulsars without a measured
#   spin-down are omitted. VizieR B/psr does not publish Pdot as a
#   column; the film recovers it as P / (2 tau).
# Age is in years as tabulated. Edot is the catalogue spin-down
#   luminosity in erg/s. dm_pc_cm3 and distance_kpc are blank when
#   the catalogue has no value.
# This is the 2005 VizieR snapshot, not a live ATNF query.
jname,period_s,dm_pc_cm3,distance_kpc,age_yr,edot_erg_s
J0006+1834,0.69374767047000,12.000000,0.70,5240000.0,2.500e+32
J0007+7303,0.31587319090000,,1.40,13900.0,4.500e+35
J0014+4746,1.24069903894600,30.850000,1.82,34800000.0,1.200e+31
J0024-7204E,0.00353632915276,24.230000,4.00,569000000.0,8.800e+34
J0024-7204F,0.00262357935251,24.379000,4.00,644000000.0,1.400e+35
J0024-7204O,0.00264334329724,24.363000,4.00,1380000000.0,6.500e+34
J0024-7204Q,0.00403318118457,24.290000,4.00,1880000000.0,2.000e+34
J0024-7204T,0.00758847980736,24.390000,4.00,409000000.0,2.700e+34
J0024-7204U,0.00434282669639,24.335000,4.00,723000000.0,4.600e+34
J0026+6320,0.31835773123500,230.310000,13.60,33600000.0,1.800e+32
J0030+0451,0.00486545320737,4.332520,0.30,7580000000.0,3.500e+33
J0034-0534,0.00187718188458,13.765170,0.98,5990000000.0,3.000e+34
J0034-0721,0.94295099455980,10.922000,1.03,36600000.0,1.900e+31
J0040+5716,1.11822534524120,92.595000,4.48,6150000.0,8.100e+31
J0045-7042,0.63233580002000,70.000000,59.70,4020000.0,3.900e+32
J0045-7319,0.92627590497000,105.400000,59.70,3290000.0,2.200e+32
J0048+3412,1.21709429605800,39.940000,3.68,8190000.0,5.200e+31
J0051+0423,0.35473179890000,13.900000,0.94,803000000.0,6.200e+30
J0055+5117,2.11517114886500,44.125000,2.40,3510000.0,4.000e+31
J0056+4756,0.47203666207600,18.090000,1.00,2250000.0,1.200e+33
J0057-7201,0.73806244260000,27.000000,2.49,117000000.0,9.800e+30
J0100-7211,8.02039200000000,,59.70,6760.0,1.400e+33
J0101-6422,0.00257315197217,11.926000,0.73,7900000000.0,1.200e+34
J0102+6537,1.67916422906400,65.853000,2.45,4470000.0,5.000e+31
J0106+4855,0.08315730500500,70.870000,7.33,3080000.0,2.900e+34
J0108+6608,1.28365984290000,30.460000,1.65,1560000.0,2.400e+32
J0108+6905,1.07111810985900,61.092000,2.59,353000000.0,1.500e+30
J0108-1431,0.80756461401900,2.380000,0.21,166000000.0,5.800e+30
J0111-7131,0.68854151164000,76.000000,59.70,1540000.0,8.600e+32
J0113-7220,0.32588301613000,125.490000,59.70,1060000.0,5.500e+33
J0117+5914,0.10143906648240,49.423000,2.14,275000.0,2.200e+35
J0131-7310,0.34812404558100,205.200000,59.70,3130000.0,1.600e+33
J0133-6957,0.46347374170300,22.948000,2.42,61200000.0,4.800e+31
J0134-2937,0.13696158413510,21.806000,1.78,27700000.0,1.200e+33
J0137+1654,0.41476302650820,26.600000,2.51,537000000.0,6.800e+30
J0139+5621,1.77534382596000,101.842000,5.54,356000.0,5.600e+32
J0139+5814,0.27245063095000,73.779000,2.60,403000.0,2.100e+34
J0141+6009,1.22294852054570,34.926000,2.30,49500000.0,8.400e+30
J0146+6145,8.68899410000000,,3.60,69100.0,1.200e+32
J0147+5922,0.19632137543003,40.111000,1.91,12100000.0,1.300e+33
J0151-0635,1.46466454933400,25.660000,1.93,52400000.0,5.600e+30
J0152+0948,2.74664729014000,21.870000,2.30,25600000.0,3.200e+30
J0152-1637,0.83274161268780,11.925770,0.69,10200000.0,8.900e+31
J0156+3949,1.81156061131000,60.000000,4.85,189000000.0,1.000e+30
J0157+6212,2.35174493646000,30.210000,1.61,197000.0,5.700e+32
J0201+7005,1.34918447184600,21.029000,1.15,3880000.0,8.900e+31
J0205+6449,0.06571592849324,140.700000,3.20,5370.0,2.700e+37
J0206-4028,0.63055014084700,12.900000,0.88,8330000.0,1.900e+32
J0211-8159,1.07733270130000,24.360000,1.83,58900000.0,9.200e+30
J0212+5222,0.37638629200000,38.000000,1.91,904000.0,4.900e+33
J0214+5222,0.02457529479071,22.035400,1.21,1300000000.0,8.000e+32
J0215+6218,0.54887981915500,84.000000,3.19,13100000.0,1.600e+32
J0218+4232,0.00232309046783,61.252000,3.15,476000000.0,2.400e+35
J0231+7026,1.46682030615200,46.640000,2.25,7470000.0,3.900e+31
J0248+6021,0.21709400000000,370.000000,2.00,62400.0,2.100e+35
J0255-5304,0.44770844405800,15.900000,1.15,232000000.0,1.300e+31
J0304+1932,1.38758444626200,15.737000,0.95,17000000.0,1.900e+31
J0323+3944,3.03207195638500,26.173000,2.61,75600000.0,9.000e+29
J0324+5239,0.33662023029100,119.000000,6.28,14000000.0,3.900e+32
J0329+1654,0.89331966064900,42.100000,3.35,65800000.0,1.200e+31
J0332+5434,0.71451969972600,26.764100,1.00,5530000.0,2.200e+32
J0335+4555,0.26920054092953,47.153000,2.08,580000000.0,1.500e+31
J0337+1715,0.00273258863244,21.316200,1.30,2450000000.0,3.400e+34
J0343+5312,1.93447806729400,67.300000,2.48,2280000.0,7.300e+31
J0343-3000,2.59702715738000,20.200000,2.22,722000000.0,1.300e+29
J0348+0432,0.03912265690178,40.463130,2.10,2570000000.0,1.600e+32
J0357+3205,0.44410449880000,,,540000.0,5.900e+33
J0357+5236,0.19703009803140,103.706000,4.73,6550000.0,2.500e+33
J0358+5413,0.15638241777740,57.142000,1.00,564000.0,4.500e+34
J0401-7608,0.54525274235200,21.600000,1.50,5620000.0,3.700e+32
J0406+6138,0.59457616504370,65.303000,3.05,1690000.0,1.000e+33
J0407+1607,0.02570173919463,35.650000,4.07,5150000000.0,1.800e+32
J0415+6954,0.39071508993860,27.465000,1.57,80800000.0,5.100e+31
J0418+5732,9.07838822000000,,,35100000.0,2.200e+29
J0418-4154,0.75711887132000,24.540000,2.46,12300000.0,8.900e+31
J0420-5022,3.45300402700000,,,1980000.0,2.600e+31
J0421-0345,2.16130849455200,44.610000,3.09,29400000.0,4.500e+30
J0426+4933,0.92247473005500,85.000000,3.60,371000.0,2.000e+33
J0437-4715,0.00575745193671,2.644760,0.16,1590000000.0,1.200e+34
J0448-2749,0.45044833085630,26.220000,2.87,48100000.0,6.400e+31
J0449-7031,0.47916397129100,65.830000,49.70,2250000.0,1.200e+33
J0450-1248,0.43801414939060,37.041000,3.27,67600000.0,4.800e+31
J0452-1759,0.54893922329400,39.903000,0.40,1510000.0,1.400e+33
J0453+1559,0.04578181687295,30.305300,1.83,390000000.0,7.700e+32
J0454+5543,0.34072943623500,14.594300,1.18,2280000.0,2.400e+33
J0455-6951,0.32042271152600,94.890000,49.70,497000.0,1.200e+34
J0456-7031,0.80013207321000,100.300000,49.70,345000.0,2.800e+33
J0457-6337,2.49701169613000,27.500000,2.94,188000000.0,5.300e+29
J0458-0505,1.88347965849000,47.806000,3.83,56300000.0,3.100e+30
J0459-0210,1.13307612365900,21.020000,1.30,12800000.0,3.800e+31
J0501+4516,5.76209653000000,,2.20,15700.0,1.200e+33
J0502+4654,0.63856548151700,42.187000,1.78,1810000.0,8.500e+32
J0502-6617,0.69125141818000,68.900000,49.70,474000.0,2.800e+33
J0511-6508,0.32206182746800,25.660000,2.17,24800000.0,2.400e+32
J0514-4002A,0.00499057511411,52.148900,12.10,67500000000.0,3.700e+32
J0519-6932,0.26321163456800,119.400000,49.70,5980000.0,1.500e+33
J0520-2553,0.24164217567310,33.770000,3.47,127000000.0,8.400e+31
J0522-6847,0.67453190906000,126.450000,49.70,603000.0,2.300e+33
J0525+1115,0.35443759451370,79.345000,7.68,76300000.0,6.500e+31
J0525-6607,8.04700000000000,,,1960.0,4.900e+33
J0528+2200,3.74553925030000,50.937000,2.28,1480000.0,3.000e+31
J0529-6652,0.97572496638000,103.200000,49.70,997000.0,6.600e+32
J0532-6639,0.64274275093000,69.300000,49.70,1900000.0,8.000e+32
J0533+0402,0.96301770198000,83.700000,6.66,95400000.0,7.100e+30
