# Folded radio pulse profiles for three well-known pulsars, Stokes I only.
# Source: European Pulsar Network (EPN) classic database,
#   https://www.jb.man.ac.uk/pulsar/Resources/epn/epndb/
# Downloaded 2026-08-17.
#
# J0534+2200 (Crab / B0531+21) and J0332+5434 (B0329+54): Gould & Lyne 1998,
#   MNRAS 301, 235, Lovell 1.408 GHz (gl98_1408.epn.asc).
# J0835-4510 (Vela / B0833-45): Johnston, Nicastro & Koribalski 1998,
#   MNRAS 297, 108, 1.4985 GHz (jnk98_1498.epn.asc). Vela is southern, so
#   it is not in the Gould & Lyne Lovell set; this is the EPN 1.4 GHz profile.
#
# time_s is seconds from the start of the folded period as stored by EPN.
# period_s is the barycentric period in the EPN header (Pbar) at the
#   observation epoch, not the later ATNF catalogue period.
# Stokes I is the recorded intensity, arbitrary units, baseline not subtracted.
# One row per phase bin. Phase = time_s / period_s (wraps near 1).
jname,bname,frequency_ghz,period_s,time_s,stokes_i,epn_file
J0534+2200,B0531+21,1.4080,0.033341858,0.000165000,-13.228015,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.000330000,-6.769712,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.000495000,8.3713016,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.000660000,10.273331,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.000825000,8.4465227,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.000990000,6.4692721,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.001155000,-2.4713404,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.001320000,0.4300603,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.001485000,11.347924,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.001650000,9.026803,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.001815000,1.5798746,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.001980000,-5.1148391,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.002145000,-18.353823,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.002310000,-24.2211,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.002475000,-19.181259,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.002640000,-11.068084,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.002805000,-5.5339303,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.002970000,-4.2121811,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.003135000,-10.165425,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.003300000,-15.624357,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.003465000,-8.0162392,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.003630000,4.0621843,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.003795000,4.8896208,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.003960000,-5.6091518,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.004125000,-14.882888,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.004290000,-17.375944,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.004455000,-10.992862,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.004620000,-1.643904,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.004785000,-1.2248127,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.004950000,-6.0282426,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.005115000,-6.5225554,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.005280000,4.5564971,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.005445000,10.520487,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.005610000,6.8776174,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.005775000,8.4465227,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.005940000,-1.4719691,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.006105000,-12.228643,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.006270000,-9.3379889,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.006435000,-6.8556795,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.006600000,-3.4599659,B0531+21/gl98_1408.epn.asc
J0534+2200,B0531+21,1.4080,0.033341858,0.006765000,5.4699006,B0531+21/gl98_1408.epn.asc
