# Gaia DR3 G-band epoch photometry for three LMC Cepheids spanning period.
# Source: Gaia DR3 epoch photometry (Gaia Collaboration 2023, A&A 674, A1; Eyer et al.
#   2023, A&A 674, A13), pulled per source from the ESA archive datalink service
#   RETRIEVAL_TYPE=EPOCH_PHOTOMETRY. Downloaded 2026-08-17.
#
# The three stars are OGLE-LMC-CEP-3592 (3.0 d), OGLE-LMC-CEP-1252 (10.0 d) and
#   OGLE-LMC-CEP-0328 (34.4 d), matched to Gaia within 0.15 arcsec with periods
#   agreeing to better than 0.1 per cent. They are the scene's three hero light
#   curves: same galaxy, same distance, three different pulsation periods.
#
# Transits Gaia flagged as rejected by photometry or by variability processing are
#   dropped; what is left is 95, 34 and 32 points spread over roughly 1000 days.
# time_days is the Gaia G-band transit time in barycentric days since
#   2010-01-01T00:00 TCB (JD 2455197.5), the archive's own zero point. Folding uses
#   the period only, so this offset never has to be undone.
# g_mag_error is derived from the catalogue flux over error as 1.0857 / (flux/error).
star,gaia_source_id,time_days,g_mag,g_mag_error
OGLE-LMC-CEP-3592,4662053035530657152,1673.227516,16.0311,0.0028
OGLE-LMC-CEP-3592,4662053035530657152,1673.477681,16.0799,0.0029
OGLE-LMC-CEP-3592,4662053035530657152,1673.727847,16.1227,0.0028
OGLE-LMC-CEP-3592,4662053035530657152,1673.978012,16.1055,0.0030
OGLE-LMC-CEP-3592,4662053035530657152,1674.478343,15.3401,0.0014
OGLE-LMC-CEP-3592,4662053035530657152,1674.654541,15.4167,0.0027
OGLE-LMC-CEP-3592,4662053035530657152,1674.728509,15.4652,0.0024
OGLE-LMC-CEP-3592,4662053035530657152,1674.904667,15.5700,0.0020
OGLE-LMC-CEP-3592,4662053035530657152,1674.978674,15.6079,0.0014
OGLE-LMC-CEP-3592,4662053035530657152,1675.154832,15.6889,0.0018
OGLE-LMC-CEP-3592,4662053035530657152,1675.228840,15.7233,0.0078
OGLE-LMC-CEP-3592,4662053035530657152,1675.404970,15.7900,0.0046
OGLE-LMC-CEP-3592,4662053035530657152,1675.479005,15.8182,0.0015
OGLE-LMC-CEP-3592,4662053035530657152,1675.655108,15.8707,0.0035
OGLE-LMC-CEP-3592,4662053035530657152,1675.729171,15.9027,0.0025
OGLE-LMC-CEP-3592,4662053035530657152,1675.905330,15.9558,0.0022
OGLE-LMC-CEP-3592,4662053035530657152,1675.979337,15.9785,0.0020
OGLE-LMC-CEP-3592,4662053035530657152,1676.155510,16.0165,0.0036
OGLE-LMC-CEP-3592,4662053035530657152,1676.229503,16.0322,0.0038
OGLE-LMC-CEP-3592,4662053035530657152,1676.405633,16.0639,0.0029
OGLE-LMC-CEP-3592,4662053035530657152,1676.479641,16.0850,0.0037
OGLE-LMC-CEP-3592,4662053035530657152,1676.655827,16.1095,0.0022
OGLE-LMC-CEP-3592,4662053035530657152,1676.729807,16.1177,0.0030
OGLE-LMC-CEP-3592,4662053035530657152,1676.905994,16.1226,0.0031
OGLE-LMC-CEP-3592,4662053035530657152,1676.979973,16.1068,0.0042
OGLE-LMC-CEP-3592,4662053035530657152,1677.156160,15.9252,0.0025
OGLE-LMC-CEP-3592,4662053035530657152,1677.230139,15.7700,0.0020
OGLE-LMC-CEP-3592,4662053035530657152,1677.406326,15.3725,0.0022
OGLE-LMC-CEP-3592,4662053035530657152,1677.480333,15.3476,0.0025
OGLE-LMC-CEP-3592,4662053035530657152,1677.656492,15.4148,0.0025
OGLE-LMC-CEP-3592,4662053035530657152,1677.730521,15.4627,0.0023
OGLE-LMC-CEP-3592,4662053035530657152,1677.980687,15.6069,0.0026
OGLE-LMC-CEP-3592,4662053035530657152,1678.156784,15.6946,0.0027
OGLE-LMC-CEP-3592,4662053035530657152,1678.230832,15.7245,0.0021
OGLE-LMC-CEP-3592,4662053035530657152,1678.406963,15.7935,0.0027
OGLE-LMC-CEP-3592,4662053035530657152,1678.480998,15.8183,0.0027
OGLE-LMC-CEP-3592,4662053035530657152,1678.657129,15.8841,0.0037
OGLE-LMC-CEP-3592,4662053035530657152,1678.731165,15.8971,0.0013
OGLE-LMC-CEP-3592,4662053035530657152,1678.907296,15.9689,0.0034
OGLE-LMC-CEP-3592,4662053035530657152,1679.157531,16.0155,0.0029
OGLE-LMC-CEP-3592,4662053035530657152,1679.407678,16.0700,0.0036
OGLE-LMC-CEP-3592,4662053035530657152,1679.481665,16.0835,0.0032
OGLE-LMC-CEP-3592,4662053035530657152,1679.657824,16.1048,0.0032
OGLE-LMC-CEP-3592,4662053035530657152,1679.731831,16.1229,0.0028
OGLE-LMC-CEP-3592,4662053035530657152,1679.907990,16.1201,0.0032
OGLE-LMC-CEP-3592,4662053035530657152,1679.981998,16.0973,0.0027
OGLE-LMC-CEP-3592,4662053035530657152,1680.232165,15.7630,0.0043
OGLE-LMC-CEP-3592,4662053035530657152,1680.408324,15.3676,0.0022
OGLE-LMC-CEP-3592,4662053035530657152,1680.658491,15.4180,0.0016
OGLE-LMC-CEP-3592,4662053035530657152,1680.908658,15.5694,0.0027
OGLE-LMC-CEP-3592,4662053035530657152,1681.158825,15.6883,0.0021
OGLE-LMC-CEP-3592,4662053035530657152,1681.408992,15.7919,0.0043
OGLE-LMC-CEP-3592,4662053035530657152,1681.659159,15.8695,0.0014
OGLE-LMC-CEP-3592,4662053035530657152,1681.909326,15.9595,0.0024
OGLE-LMC-CEP-3592,4662053035530657152,1682.159485,16.0174,0.0043
OGLE-LMC-CEP-3592,4662053035530657152,1695.418435,15.3629,0.0015
OGLE-LMC-CEP-3592,4662053035530657152,1695.492442,15.3477,0.0019
OGLE-LMC-CEP-3592,4662053035530657152,1737.790461,15.4793,0.0021
OGLE-LMC-CEP-3592,4662053035530657152,1737.864539,15.5282,0.0010
OGLE-LMC-CEP-3592,4662053035530657152,1771.344435,15.7650,0.0023
OGLE-LMC-CEP-3592,4662053035530657152,1799.832946,16.1377,0.0023
OGLE-LMC-CEP-3592,4662053035530657152,1833.733159,15.4389,0.0022
OGLE-LMC-CEP-3592,4662053035530657152,1859.723949,16.1253,0.0041
OGLE-LMC-CEP-3592,4662053035530657152,1859.797928,16.1245,0.0016
OGLE-LMC-CEP-3592,4662053035530657152,2020.626306,15.8467,0.0021
OGLE-LMC-CEP-3592,4662053035530657152,2020.700314,15.8716,0.0022
OGLE-LMC-CEP-3592,4662053035530657152,2051.116043,15.9952,0.0027
OGLE-LMC-CEP-3592,4662053035530657152,2085.347175,15.7147,0.0016
OGLE-LMC-CEP-3592,4662053035530657152,2085.421182,15.5057,0.0021
OGLE-LMC-CEP-3592,4662053035530657152,2115.835318,15.4667,0.0026
OGLE-LMC-CEP-3592,4662053035530657152,2115.909324,15.5041,0.0023
OGLE-LMC-CEP-3592,4662053035530657152,2149.138214,15.6286,0.0023
OGLE-LMC-CEP-3592,4662053035530657152,2149.314370,15.7092,0.0029
OGLE-LMC-CEP-3592,4662053035530657152,2177.127100,16.0001,0.0023
OGLE-LMC-CEP-3592,4662053035530657152,2211.099933,16.1147,0.0044
OGLE-LMC-CEP-3592,4662053035530657152,2211.276082,15.9427,0.0025
OGLE-LMC-CEP-3592,4662053035530657152,2237.017398,15.9529,0.0035
OGLE-LMC-CEP-3592,4662053035530657152,2272.486716,15.7714,0.0023
OGLE-LMC-CEP-3592,4662053035530657152,2298.479398,15.5002,0.0021
OGLE-LMC-CEP-3592,4662053035530657152,2334.701493,15.3668,0.0020
OGLE-LMC-CEP-3592,4662053035530657152,2334.775501,15.3863,0.0022
OGLE-LMC-CEP-3592,4662053035530657152,2363.193055,16.0090,0.0035
OGLE-LMC-CEP-3592,4662053035530657152,2363.267063,16.0155,0.0021
OGLE-LMC-CEP-3592,4662053035530657152,2398.745299,15.8578,0.0017
OGLE-LMC-CEP-3592,4662053035530657152,2398.921458,15.9099,0.0034
OGLE-LMC-CEP-3592,4662053035530657152,2463.465837,15.6272,0.0028
OGLE-LMC-CEP-3592,4662053035530657152,2463.641994,15.3237,0.0035
OGLE-LMC-CEP-3592,4662053035530657152,2493.629987,15.3453,0.0017
OGLE-LMC-CEP-3592,4662053035530657152,2526.931779,15.4580,0.0021
OGLE-LMC-CEP-3592,4662053035530657152,2527.107922,15.5586,0.0023
OGLE-LMC-CEP-3592,4662053035530657152,2554.347130,15.6837,0.0020
OGLE-LMC-CEP-3592,4662053035530657152,2588.642808,16.0831,0.0034
OGLE-LMC-CEP-3592,4662053035530657152,2650.087397,15.5335,0.0018
OGLE-LMC-CEP-3592,4662053035530657152,2676.329964,16.0267,0.0014
OGLE-LMC-CEP-3592,4662053035530657152,2676.403943,15.9172,0.0024
OGLE-LMC-CEP-1252,4658249756141611904,1695.920038,14.2445,0.0014
OGLE-LMC-CEP-1252,4658249756141611904,1695.994066,14.2183,0.0014
OGLE-LMC-CEP-1252,4658249756141611904,1738.042487,14.1349,0.0019
OGLE-LMC-CEP-1252,4658249756141611904,1772.019877,14.5940,0.0015
OGLE-LMC-CEP-1252,4658249756141611904,1799.259595,14.2219,0.0030
OGLE-LMC-CEP-1252,4658249756141611904,1799.333574,14.2418,0.0009
OGLE-LMC-CEP-1252,4658249756141611904,1833.730913,14.7494,0.0015
OGLE-LMC-CEP-1252,4658249756141611904,1859.046609,14.1683,0.0016
OGLE-LMC-CEP-1252,4658249756141611904,1894.265997,14.6826,0.0034
