# Kepler long-cadence light curve for KIC 7944142 (HD 176694, Kp = 7.82), a
# red giant whose surface rings with solar-like oscillations.
# Source: MAST / Kepler SPOC PDCSAP via lightkurve search_lightcurve(
#   'KIC 7944142', mission='Kepler', exptime=1800).download_all().stitch(),
#   then remove_nans() and remove_outliers(sigma=5).
# 18 quarters, 65259 points, 1470 d baseline,
#   29.42 min cadence, 672 ppm rms.
# ppm = (PDCSAP / median - 1) x 1e6. Quarter gaps are left in; the scene fills
#   them with zeros on a regular grid so a plain numpy FFT is enough.
# Published seismology for comparison (Yu et al. 2018, ApJS 236, 42,
#   VizieR J/ApJS/236/42): numax = 74.75 +- 0.63 muHz, Dnu = 6.993 muHz,
#   Teff = 5046 K, M = 1.59 Msun, R = 8.38 Rsun (RGB-corrected).
# Columns: bkjd_day = BJD_TDB - 2454833; flux_ppm is dimensionless x 1e6.
bkjd_day,flux_ppm
120.539501,-174.4
120.559936,-196.2
120.580370,55.8
120.600804,174.4
120.621239,163.3
120.641673,402.5
120.662107,686.5
120.682542,635.0
120.702976,534.8
120.723411,586.4
120.743845,445.0
120.764279,165.7
120.784714,-149.1
120.805148,-296.3
120.825583,-199.4
120.846017,-307.9
120.866451,-536.9
120.886886,2888.4
120.907320,1484.3
120.927755,743.7
120.948189,686.6
120.968623,443.8
120.989058,-114.6
121.009492,-758.8
121.029927,-737.7
121.050361,-443.3
121.070795,0.0
121.091230,-49.5
121.111664,-479.9
121.132099,-717.9
121.152533,-558.8
121.172967,-158.5
121.193402,-49.9
121.213836,4.3
121.234271,-171.2
121.254705,-465.2
121.275139,-926.5
121.295574,-1133.3
121.316008,-1020.1
121.336443,-870.2
121.356877,-800.7
121.377311,-980.8
121.397746,-1105.7
121.418180,-848.2
121.438614,-579.7
121.459049,-319.8
121.479483,-279.7
121.499918,122.1
121.520352,727.8
121.540787,991.5
121.561221,741.7
121.581655,442.5
121.602090,248.2
121.622524,385.8
121.642958,556.6
121.663393,447.0
121.683827,187.6
121.704262,136.1
121.724696,412.6
121.745131,448.1
121.765565,460.1
121.785999,568.2
121.806434,541.1
121.826868,486.0
121.847302,512.6
121.867737,491.3
121.888171,628.0
121.908606,689.6
121.929040,452.5
121.949474,315.2
121.969909,472.1
121.990343,643.6
122.010777,751.1
122.031212,670.4
122.051646,376.6
122.072081,158.5
122.092515,29.4
122.112950,58.8
122.133384,105.3
122.153818,46.7
122.174253,-96.9
122.194687,-417.4
122.215121,-744.0
122.235556,-1005.0
122.255990,-930.8
122.276425,-925.1
122.296859,-862.2
122.317293,-746.1
122.337728,-599.9
122.358162,-723.2
122.378597,-1407.0
122.399031,-1941.4
122.419465,-1916.2
122.439900,-1410.2
122.460334,-767.6
122.480769,-653.4
122.501203,-1061.9
122.521637,-1091.3
122.542072,-1101.5
122.562506,-1005.7
122.582940,-1034.0
122.603375,-1041.7
122.623809,-1004.3
122.644244,-747.6
122.664678,-387.6
122.685112,-355.2
122.705547,-593.3
122.725981,-948.5
122.746416,-857.6
122.766850,-604.0
122.787284,-504.6
122.807719,-883.9
122.828153,-1035.2
122.848588,-726.0
122.869022,-377.9
122.889456,-352.3
122.909891,-590.3
122.930325,-584.4
122.950759,-172.7
122.971194,368.1
122.991628,860.5
123.012063,1261.5
123.032497,1030.3
123.052931,807.3
123.073366,989.7
123.093800,980.0
123.114235,805.5
123.134669,424.5
123.155103,115.3
123.175538,-112.4
123.195972,-248.0
123.216407,-310.7
123.236841,-22.2
123.257275,496.6
123.277710,606.4
123.318579,-194.5
123.339013,-613.7
123.359447,-818.3
123.379882,-590.6
123.400316,-114.2
123.420750,357.2
123.441185,514.4
123.461619,588.1
123.482054,449.3
123.502488,353.9
123.522922,156.3
123.543357,44.0
123.563791,290.3
123.584226,718.5
123.604660,1075.6
123.625094,908.6
123.645529,475.0
123.665963,-51.2
123.686397,-290.6
123.706832,-308.5
123.727266,-127.7
123.747701,200.4
123.768135,265.5
123.788569,59.5
123.809004,-181.9
123.829438,-197.8
123.849872,-65.9
123.870307,42.3
123.890741,243.4
123.911176,178.2
123.931610,-22.8
123.952044,-235.9
123.972479,-288.4
123.992913,-358.9
124.013348,-431.8
124.033782,-522.2
124.054216,-304.5
124.074651,-82.3
124.095085,18.4
124.115519,-129.9
124.135954,-363.8
124.156388,-522.4
124.176823,-347.4
124.197257,37.7
124.217691,182.6
124.238126,-54.5
124.258560,-620.5
124.278995,-843.9
124.299429,-625.0
124.319863,-111.0
124.340298,210.8
124.360732,-14.5
124.381167,-352.0
124.401601,-712.6
124.422035,-939.0
124.442470,-757.9
124.462904,-214.2
124.483338,-158.7
124.503773,-372.4
124.524207,-489.5
124.544642,-660.2
124.565076,-786.7
124.585510,-532.0
124.605945,86.5
124.626379,322.9
124.646814,204.9
124.667248,272.0
124.687682,319.7
124.708117,271.3
124.728551,524.3
124.748985,863.3
124.769420,1091.8
124.789854,935.4
124.810288,213.4
124.830723,-485.4
