# Fundamental-mode classical Cepheids in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2015 (Acta Astronomica 65, 297), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/65/297 tables lmccep/smccep for the periods and
#   mean magnitudes and lmcident/smcident for the positions. Downloaded 2026-08-17.
#
# 2315 LMC and 2637 SMC stars: every star the catalogue marks as pulsating in
#   the fundamental mode (Mode = F) with both a mean V and a mean I magnitude. First
#   overtone and multi-mode Cepheids are left out — they follow their own, offset
#   period-luminosity relation and would double the ridge.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum light
#   (HJD - 2450000), carried so a light curve can be folded on the same convention.
# mean_v_mag and mean_i_mag are intensity-mean magnitudes, not averaged magnitudes,
#   and they are apparent: no extinction correction has been applied here. The
#   Wesenheit index I - 1.55 (V - I), which is what makes the relation tight, is
#   derived in the scene rather than stored, so the correction stays visible.
# i_amplitude_mag is the peak-to-peak I-band amplitude.
cloud,star,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag,ra_deg,dec_deg
LMC,OGLE-LMC-CEP-0002,3.1181490,6000.34799,16.420,15.691,0.261,67.946042,-69.819306
LMC,OGLE-LMC-CEP-0005,5.6119491,6004.75854,15.425,14.651,0.508,68.881333,-69.734944
LMC,OGLE-LMC-CEP-0012,2.6601839,6001.07578,16.075,15.474,0.691,69.453083,-67.214417
LMC,OGLE-LMC-CEP-0016,10.5642749,6008.44688,14.878,13.777,0.143,69.635542,-67.646333
LMC,OGLE-LMC-CEP-0017,3.6772904,6001.21645,15.899,15.237,0.594,69.736792,-69.688417
LMC,OGLE-LMC-CEP-0018,4.0478369,6002.75795,15.994,15.181,0.247,69.745750,-68.956889
LMC,OGLE-LMC-CEP-0021,5.4579579,6002.24087,15.494,14.709,0.447,69.879083,-69.261833
LMC,OGLE-LMC-CEP-0023,1.7018187,6000.65340,17.081,16.315,0.418,70.197833,-68.985667
LMC,OGLE-LMC-CEP-0025,3.7334902,6003.70986,16.131,15.338,0.368,70.226542,-69.115083
LMC,OGLE-LMC-CEP-0026,2.5706724,6002.26494,16.094,15.497,0.619,70.301000,-68.799750
LMC,OGLE-LMC-CEP-0027,3.5229124,6001.73458,15.641,15.037,0.636,70.331167,-67.335583
LMC,OGLE-LMC-CEP-0028,1.2629537,6000.35235,17.258,16.617,0.510,70.362208,-69.631750
LMC,OGLE-LMC-CEP-0033,7.1807603,6002.62615,15.216,14.386,0.496,70.491375,-69.433556
LMC,OGLE-LMC-CEP-0034,11.2552749,6007.28824,14.673,13.751,0.488,70.507958,-70.646944
LMC,OGLE-LMC-CEP-0035,6.9435423,6005.25522,15.154,14.376,0.403,70.526292,-67.969889
LMC,OGLE-LMC-CEP-0037,3.0669100,6002.25863,16.294,15.512,0.273,70.562000,-68.436278
LMC,OGLE-LMC-CEP-0039,3.1477882,6002.07933,16.059,15.395,0.348,70.658375,-68.516472
LMC,OGLE-LMC-CEP-0040,5.1651068,6004.55294,15.413,14.670,0.577,70.696917,-69.816806
LMC,OGLE-LMC-CEP-0041,2.9106644,6002.12866,16.253,15.530,0.179,70.723917,-67.433278
LMC,OGLE-LMC-CEP-0042,2.5770257,6002.33638,16.360,15.667,0.631,70.756750,-70.167111
LMC,OGLE-LMC-CEP-0044,4.0357552,6003.70515,15.522,14.925,0.618,70.793667,-67.233583
LMC,OGLE-LMC-CEP-0045,1.8669280,6001.52638,16.834,16.146,0.497,70.794750,-67.282778
LMC,OGLE-LMC-CEP-0046,8.8436041,6006.17876,14.745,13.948,0.502,70.836917,-69.229972
LMC,OGLE-LMC-CEP-0048,5.5482140,6002.79336,15.157,14.465,0.552,70.881042,-69.624694
LMC,OGLE-LMC-CEP-0049,3.8491608,6002.77336,16.192,15.316,0.229,70.898208,-70.696278
LMC,OGLE-LMC-CEP-0050,7.8454429,6005.48757,15.021,14.195,0.467,70.918000,-69.570611
LMC,OGLE-LMC-CEP-0053,2.6338747,6001.37846,16.412,15.685,0.694,71.020083,-69.841417
LMC,OGLE-LMC-CEP-0055,2.8620681,6002.29255,16.098,15.452,0.558,71.141958,-67.072639
LMC,OGLE-LMC-CEP-0056,3.6670371,6002.36330,16.256,15.355,0.412,71.196000,-70.230833
LMC,OGLE-LMC-CEP-0057,10.3067803,6005.48867,14.799,13.886,0.318,71.219500,-69.033194
LMC,OGLE-LMC-CEP-0058,4.3155685,6001.56383,15.730,14.977,0.603,71.222292,-69.191583
LMC,OGLE-LMC-CEP-0059,4.3903931,6004.34899,15.815,15.011,0.472,71.228750,-68.639361
LMC,OGLE-LMC-CEP-0060,3.4064849,6000.57849,16.199,15.417,0.523,71.248250,-69.832139
LMC,OGLE-LMC-CEP-0064,3.2291389,6001.30270,15.987,15.295,0.545,71.372250,-69.147056
LMC,OGLE-LMC-CEP-0067,3.4854335,6003.23717,16.111,15.327,0.487,71.394250,-70.370861
LMC,OGLE-LMC-CEP-0068,28.3738735,6005.00515,13.584,12.748,0.761,71.404958,-70.251028
LMC,OGLE-LMC-CEP-0070,13.7462846,6011.02012,14.766,13.754,0.470,71.504500,-69.648833
LMC,OGLE-LMC-CEP-0072,2.3366463,6000.01759,16.253,15.565,0.290,71.636792,-68.749333
LMC,OGLE-LMC-CEP-0075,3.4187485,6003.10255,16.121,15.342,0.590,71.662958,-70.266000
LMC,OGLE-LMC-CEP-0076,5.1478925,6000.45137,15.904,15.033,0.232,71.699708,-69.095306
LMC,OGLE-LMC-CEP-0078,7.3826504,6001.86552,15.172,14.316,0.469,71.754083,-70.097917
LMC,OGLE-LMC-CEP-0079,22.5437817,6001.56476,14.132,13.103,0.663,71.778667,-69.294306
LMC,OGLE-LMC-CEP-0087,3.5902086,6002.84126,15.955,15.213,0.636,71.850625,-69.721972
LMC,OGLE-LMC-CEP-0089,4.6938588,6003.35310,15.991,15.194,0.323,71.879500,-68.924639
LMC,OGLE-LMC-CEP-0090,4.0004649,6001.16894,15.867,15.132,0.679,71.936375,-70.202000
LMC,OGLE-LMC-CEP-0091,3.5989553,6001.68942,16.123,15.349,0.439,71.942250,-68.330417
LMC,OGLE-LMC-CEP-0095,2.7749337,6002.18484,16.159,15.476,0.456,72.008208,-67.808139
LMC,OGLE-LMC-CEP-0100,3.2094086,6002.83445,16.198,15.455,0.511,72.142542,-70.171194
LMC,OGLE-LMC-CEP-0101,8.1924377,6007.89956,15.778,14.692,0.042,72.142625,-69.347278
LMC,OGLE-LMC-CEP-0103,7.1572780,6003.03526,14.675,13.988,0.396,72.148375,-67.583333
LMC,OGLE-LMC-CEP-0104,3.1095464,6001.42476,16.175,15.434,0.484,72.190167,-70.005917
LMC,OGLE-LMC-CEP-0105,4.7407405,6003.00582,15.718,14.944,0.458,72.203708,-66.733917
LMC,OGLE-LMC-CEP-0106,3.2675038,6001.97906,16.222,15.439,0.466,72.210875,-70.248111
LMC,OGLE-LMC-CEP-0107,8.7388601,6001.45703,14.761,13.947,0.505,72.213958,-69.356333
LMC,OGLE-LMC-CEP-0108,3.7476000,6000.26664,15.989,15.250,0.261,72.233792,-68.901861
LMC,OGLE-LMC-CEP-0109,2.8533700,6001.90097,16.657,15.823,0.654,72.235917,-68.953528
LMC,OGLE-LMC-CEP-0111,1.6128624,6000.55044,16.970,16.284,0.622,72.267292,-69.300667
LMC,OGLE-LMC-CEP-0114,10.3719990,6009.14841,14.592,13.792,0.355,72.301917,-69.161028
LMC,OGLE-LMC-CEP-0116,3.4150618,6000.96001,16.116,15.353,0.473,72.305708,-70.149944
LMC,OGLE-LMC-CEP-0122,1.2929953,6000.35916,17.285,16.652,0.444,72.337625,-67.871750
LMC,OGLE-LMC-CEP-0123,6.8885387,6003.98626,15.940,14.904,0.482,72.343458,-69.150500
LMC,OGLE-LMC-CEP-0126,7.6992572,6003.44257,15.296,14.375,0.190,72.391625,-66.975833
LMC,OGLE-LMC-CEP-0128,3.8457511,6000.28485,16.021,15.246,0.460,72.423917,-70.627250
LMC,OGLE-LMC-CEP-0131,2.8694980,6001.84271,16.470,15.661,0.401,72.437667,-68.880000
LMC,OGLE-LMC-CEP-0138,2.3754308,6000.60196,16.738,15.946,0.416,72.481750,-68.915111
LMC,OGLE-LMC-CEP-0139,9.7736415,6008.06189,15.039,14.142,0.448,72.488083,-69.127222
LMC,OGLE-LMC-CEP-0140,2.4202552,6000.04698,16.413,15.722,0.455,72.489958,-67.693778
LMC,OGLE-LMC-CEP-0142,3.7719620,6003.42019,16.167,15.330,0.379,72.498750,-69.785083
LMC,OGLE-LMC-CEP-0149,3.0792302,6002.55862,16.534,15.696,0.394,72.539917,-69.661028
LMC,OGLE-LMC-CEP-0151,9.3645147,6006.23152,15.133,14.162,0.204,72.559750,-68.824472
LMC,OGLE-LMC-CEP-0154,4.1646485,6003.38161,16.003,15.217,0.461,72.574167,-68.898917
