# Single-mode RR Lyrae stars in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/66/131 tables lmcrrabc/smcrrabc. Downloaded 2026-08-17.
#
# RRab (fundamental mode) and RRc (first overtone) only. Double-mode RRd and
#   anomalous aRRd stars are left out — they pulsate in two periods at once and
#   would smear both the Bailey diagram and the period–luminosity ridge.
# Every star has an intensity-mean V and I magnitude and an I-band amplitude.
#   Mean magnitudes are apparent: no extinction correction has been applied.
#   The Wesenheit index I - 1.55 (V - I) is derived in the scene, not stored.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum
#   light (HJD - 2450000). i_amplitude_mag is peak-to-peak I-band amplitude.
# One row per star.
cloud,star,type,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag
LMC,OGLE-LMC-RRLYR-00001,RRab,0.6347521,6000.13200,19.455,18.772,0.533
LMC,OGLE-LMC-RRLYR-00002,RRab,0.6255179,6000.20402,19.472,18.844,0.311
LMC,OGLE-LMC-RRLYR-00003,RRab,0.6564971,6000.11424,19.306,18.649,0.412
LMC,OGLE-LMC-RRLYR-00004,RRab,0.5123843,6000.02014,19.340,18.808,0.598
LMC,OGLE-LMC-RRLYR-00005,RRab,0.6433519,6000.18740,19.613,18.942,0.246
LMC,OGLE-LMC-RRLYR-00006,RRab,0.6000192,6000.19342,19.458,18.766,0.469
LMC,OGLE-LMC-RRLYR-00007,RRab,0.5528561,6000.51544,19.482,18.866,0.643
LMC,OGLE-LMC-RRLYR-00008,RRab,0.7877152,6000.77369,19.394,18.674,0.331
LMC,OGLE-LMC-RRLYR-00010,RRab,0.5940743,6000.22061,19.472,18.813,0.408
LMC,OGLE-LMC-RRLYR-00011,RRab,0.5535754,6000.01902,19.499,18.878,0.508
LMC,OGLE-LMC-RRLYR-00012,RRab,0.6095621,6000.48251,19.328,18.695,0.362
LMC,OGLE-LMC-RRLYR-00014,RRab,0.6394931,6000.00659,19.660,18.954,0.243
LMC,OGLE-LMC-RRLYR-00015,RRc,0.3557403,6000.16869,19.416,18.871,0.281
LMC,OGLE-LMC-RRLYR-00016,RRab,0.5983911,6000.01842,19.696,19.028,0.489
LMC,OGLE-LMC-RRLYR-00017,RRab,0.5759649,6000.51362,19.448,18.863,0.478
LMC,OGLE-LMC-RRLYR-00018,RRab,0.6416959,6000.63803,19.192,18.599,0.726
LMC,OGLE-LMC-RRLYR-00019,RRab,0.4252321,6000.21967,19.754,19.237,0.631
LMC,OGLE-LMC-RRLYR-00020,RRc,0.3729825,6000.07117,19.358,18.872,0.225
LMC,OGLE-LMC-RRLYR-00022,RRab,0.5152344,6000.41185,19.363,18.801,0.791
LMC,OGLE-LMC-RRLYR-00023,RRab,0.5460330,6000.47939,19.494,18.956,0.778
