# OGLE-IV I-band photometry for three LMC RR Lyrae stars spanning Bailey type.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), OGLE-IV Collection of
#   Variable Stars, https://www.astrouw.edu.pl/ogle/ogle4/OCVS/lmc/rrlyr/phot/I/
# Downloaded 2026-08-17.
#
# OGLE-LMC-RRLYR-03686 (RRc, 0.284 d), OGLE-LMC-RRLYR-16323 (RRab, 0.489 d)
#   and OGLE-LMC-RRLYR-12984 (RRab, 0.650 d). Same galaxy, three clocks:
#   an overtone sine, a high-amplitude sawtooth, and a longer, smaller bump.
#
# time_hjd is HJD - 2450000 as stored by OGLE; i_mag is the I-band magnitude
#   and i_mag_error is the catalogue uncertainty. Folding uses the period only.
star,time_hjd,i_mag,i_mag_error
OGLE-LMC-RRLYR-03686,5260.62701,18.701,0.031
OGLE-LMC-RRLYR-03686,5261.54182,18.586,0.028
OGLE-LMC-RRLYR-03686,5262.60856,18.648,0.029
OGLE-LMC-RRLYR-03686,5264.57225,18.624,0.026
OGLE-LMC-RRLYR-03686,5265.50605,18.650,0.035
OGLE-LMC-RRLYR-03686,5266.57097,18.641,0.036
OGLE-LMC-RRLYR-03686,5267.55231,18.461,0.029
OGLE-LMC-RRLYR-03686,5268.62687,18.699,0.035
OGLE-LMC-RRLYR-03686,5269.53622,18.494,0.027
OGLE-LMC-RRLYR-03686,5271.54501,18.436,0.024
OGLE-LMC-RRLYR-03686,5272.56217,18.659,0.034
OGLE-LMC-RRLYR-03686,5273.53414,18.419,0.026
OGLE-LMC-RRLYR-03686,5274.56531,18.590,0.028
OGLE-LMC-RRLYR-03686,5276.54436,18.725,0.028
OGLE-LMC-RRLYR-03686,5279.53250,18.507,0.034
OGLE-LMC-RRLYR-03686,5281.50793,18.427,0.027
OGLE-LMC-RRLYR-03686,5282.52663,18.660,0.028
OGLE-LMC-RRLYR-03686,5283.54274,18.539,0.043
OGLE-LMC-RRLYR-03686,5284.54607,18.621,0.032
OGLE-LMC-RRLYR-03686,5285.54764,18.626,0.051
OGLE-LMC-RRLYR-03686,5287.54090,18.583,0.038
OGLE-LMC-RRLYR-03686,5292.55783,18.495,0.032
OGLE-LMC-RRLYR-03686,5294.54062,18.475,0.028
OGLE-LMC-RRLYR-03686,5297.50879,18.685,0.032
OGLE-LMC-RRLYR-03686,5299.50626,18.618,0.035
OGLE-LMC-RRLYR-03686,5307.49584,18.649,0.035
OGLE-LMC-RRLYR-03686,5312.51433,18.506,0.043
OGLE-LMC-RRLYR-03686,5315.48522,18.611,0.040
OGLE-LMC-RRLYR-03686,5323.47101,18.532,0.032
OGLE-LMC-RRLYR-03686,5325.46468,18.478,0.040
OGLE-LMC-RRLYR-03686,5327.46455,18.446,0.031
OGLE-LMC-RRLYR-03686,5335.45920,18.455,0.033
