# Type Ia supernovae from the Pantheon+ / SH0ES compilation, one row per SN.
# Source: Scolnic et al. 2022 (ApJ 938, 113) and Brout et al. 2022 (ApJ 938, 110),
#   file Pantheon+SH0ES.dat from the Pantheon+ Data Release
#   (https://github.com/PantheonPlusSH0ES/DataRelease). Downloaded 2026-08-17.
#
# 1543 unique supernovae (the release lists 1,701 light curves of 1,550
#   distinct events; a handful of names collide across surveys and collapse here
#   to the fit with the smallest peak-magnitude error). 43 sit in hosts with a Cepheid distance.
#
# z_hd is the Hubble-diagram redshift (CMB-frame, with a peculiar-velocity
#   correction). peak_mb, stretch_x1 and salt_color are the SALT2 light-curve
#   parameters: peak B magnitude, stretch, and colour. mu_sh0es is the
#   stretch-and-colour-corrected distance modulus whose zero point is set by
#   the SH0ES Cepheid hosts — the second rung, standing on the first.
# cepheid_mu is the geometric Cepheid modulus of the host when there is one,
#   blank otherwise. is_calibrator is 1 for those hosts.
# mu_sh0es_err is the diagonal of the covariance, for plotting only; cosmology
#   fits must use the full matrix, which is not committed here.
name,z_hd,z_hd_err,peak_mb,peak_mb_err,stretch_x1,stretch_x1_err,salt_color,mu_sh0es,mu_sh0es_err,is_calibrator,cepheid_mu,ra_deg,dec_deg
000006,0.23041,0.00143,21.3997,0.0452383,-0.009105,0.43902,0.12905,40.3062,0.260109,0,,53.3665,-28.3715
000010,0.24585,0.00144,21.1628,0.0364886,0.29723,0.28779,0.013287,40.4318,0.167359,0,,149.749,3.1575
000011,0.38153,0.00153,22.8895,0.0444649,-2.14572,0.60143,0.11588,41.6775,0.218983,0,,149.976,2.4119
000014,0.13614,0.00138,19.3954,0.0448413,0.47577,0.57882,-0.111842,38.9771,0.206627,0,,35.878,-4.6363
000034,0.2533,0.00145,20.7079,0.0332041,1.00288,0.37069,-0.119666,40.3688,0.15705,0,,36.0664,-3.1865
000038,0.1505,0.00139,19.711,0.0348121,0.71049,0.19695,-0.028408,39.1058,0.170038,0,,35.0957,-4.6725
000137,0.11901,0.00137,19.6281,0.0369313,-0.710055,0.17565,0.081772,38.5629,0.212381,0,,161.159,57.8111
000142,0.43683,0.00156,22.7283,0.0357877,-0.769832,0.4262,-0.030455,42.0051,0.1818,0,,162.309,58.4672
000174,0.24511,0.00144,21.4145,0.0360011,-0.731508,0.21605,0.08696,40.3336,0.209543,0,,162.029,56.8502
000190,0.10221,0.00136,19.2136,0.0339766,0.084611,0.098045,0.003738,38.4085,0.187412,0,,148.988,2.2635
000196,0.35059,0.00151,21.8019,0.0300284,0.45123,0.24223,-0.050007,41.2342,0.163121,0,,150.115,2.694
000199,0.37153,0.00152,21.7392,0.0286802,0.89801,0.2289,-0.110945,41.3842,0.116639,0,,151.231,2.5909
000202,0.61983,0.00168,23.0598,0.0360488,0.61215,0.52292,-0.168582,42.7557,0.154862,0,,150.539,1.8992
000215,0.46654,0.00158,22.455,0.03326,0.97228,0.31456,-0.09831,42.048,0.135922,0,,150.81,3.1442
000220,0.21972,0.00143,20.606,0.0340948,-0.700887,0.14475,-0.129253,40.0616,0.124319,0,,150.537,2.7186
000236,0.19616,0.00141,20.2976,0.033471,-0.201493,0.14232,-0.084432,39.7288,0.124812,0,,131.58,44.0731
000420,0.31144,0.00148,21.6639,0.0340529,-0.749021,0.17802,-0.081778,41.0123,0.141744,0,,149.82,1.6135
010010,0.0995,0.00096,19.1455,0.033575,0.9091,0.15659,0.010397,38.4377,0.194713,0,,150.859,1.0294
010026,0.03236,0.00086,16.4521,0.0382227,-0.409321,0.082041,-0.031578,35.6746,0.20211,0,,160.674,58.8438
020027,0.11001,0.00136,19.3621,0.0335753,0.29665,0.15075,0.036283,38.5701,0.179741,0,,186.336,46.0152
020090,0.41004,0.00154,22.3072,0.056404,0.32073,0.90738,-0.013278,41.6836,0.279968,0,,212.879,53.5796
020096,0.22578,0.00143,20.6652,0.0393925,-0.69326,0.21577,-0.076474,39.9865,0.175963,0,,161.314,58.1927
020176,0.26062,0.00145,20.9283,0.0310197,0.89957,0.32218,-0.088821,40.5033,0.171288,0,,211.862,53.3429
030006,0.50285,0.0016,22.5287,0.12211,0.47249,0.9973,-0.090771,42.0703,0.312874,0,,162.525,58.7774
030066,0.22542,0.00143,20.4108,0.042548,1.38181,0.37115,-0.133984,40.1491,0.174035,0,,150.183,3.404
03D1au,0.50316,0.00135,22.7383,0.0259461,1.26007,0.15011,-0.017318,42.1444,0.228687,0,,36.0432,-4.0375
03D1aw,0.5808,0.00517,23.3065,0.0275148,0.99829,0.27584,-0.029281,42.7061,0.239821,0,,36.0616,-4.5172
03D1ax,0.49579,0.00126,22.6967,0.026141,-0.734029,0.10212,-0.105749,42.0817,0.153945,0,,36.0972,-4.7207
03D1bp,0.34602,0.0015,22.1331,0.0303872,-1.15321,0.11161,-0.048694,41.3318,0.136683,0,,36.6572,-4.8388
03D1co,0.67773,0.00172,23.8105,0.0445752,0.67911,0.40655,-0.039608,43.2251,0.311797,0,,36.5677,-4.9351
03D1fc,0.33103,0.00149,21.6006,0.0290511,0.65439,0.11829,-0.023031,41.0098,0.137116,0,,36.4316,-4.1441
03D1fq,0.79863,0.01011,24.2232,0.0447665,-1.02335,0.42081,-0.041492,43.4338,0.288144,0,,36.7319,-4.3022
03D4at,0.63225,0.00169,23.4716,0.0334611,0.21129,0.32719,-0.056573,42.8493,0.323662,0,,333.6,-17.7767
03D4au,0.46643,0.00158,23.5316,0.0351029,0.35918,0.33294,0.1162,42.3424,0.396492,0,,334.041,-18.0776
03D4cz,0.69318,0.00173,23.7601,0.0468212,-1.76537,0.36781,-0.068748,42.9162,0.318024,0,,334.174,-17.9263
03D4dh,0.62525,0.00141,23.1117,0.0266788,1.13855,0.17837,-0.076925,42.6577,0.215148,0,,334.379,-17.6297
03D4dy,0.60827,0.01009,22.978,0.0277249,1.17176,0.18431,-0.10218,42.5904,0.228388,0,,333.711,-17.9565
03D4fd,0.78907,0.0018,23.9382,0.0405168,0.82118,0.48128,-0.036025,43.3837,0.271177,0,,334.06,-17.3956
03D4gf,0.5783,0.01009,23.0588,0.0275465,0.52452,0.31579,-0.036908,42.4174,0.24485,0,,333.596,-17.734
03D4gg,0.59029,0.00166,23.1652,0.0350651,0.99441,0.43532,0.013796,42.5156,0.248253,0,,334.168,-18.1645
040137,0.44764,0.00157,22.5333,0.0585134,1.08695,0.53781,0.023926,41.8552,0.223954,0,,214.46,52.801
040150,0.38185,0.00153,22.2007,0.0549233,-0.249703,0.5281,-0.047299,41.5615,0.198898,0,,162.098,57.1482
040166,0.44013,0.00156,22.4934,0.1194,0.30821,1.4804,-0.148968,42.1401,0.441915,0,,214.12,54.0536
040201,0.27995,0.00146,21.0656,0.0388957,0.395,0.21215,-0.08678,40.5664,0.153331,0,,184.46,47.4468
040780,0.23082,0.00143,21.6669,0.0448949,-0.910841,0.47222,0.27933,40.0717,0.296847,0,,243.62,54.7258
040782,0.33751,0.0015,22.1611,0.0509092,-0.572393,0.43259,0.15267,41.0098,0.23724,0,,242.077,54.9081
04D1aj,0.71969,0.0101,23.6216,0.0349846,0.3801,0.35878,-0.027696,42.97,0.342226,0,,36.4748,-4.9946
04D1de,0.76666,0.00178,23.853,0.0343587,0.90425,0.24322,-0.12298,43.4224,0.250162,0,,36.6496,-4.4226
04D1hd,0.36799,0.00152,21.8953,0.0263619,0.78582,0.067924,-0.097547,41.4699,0.158375,0,,36.5368,-4.1096
04D1hx,0.55882,0.00164,23.4386,0.0275874,0.27611,0.19087,0.11205,42.2975,0.356215,0,,36.1771,-4.7903
04D1jg,0.58301,0.00141,23.0079,0.027304,0.26232,0.15731,-0.106769,42.5408,0.168029,0,,36.5523,-4.1348
04D1kj,0.58382,0.00166,23.0717,0.0249334,0.21618,0.126,-0.06898,42.4765,0.198486,0,,36.9694,-4.1803
04D1ks,0.79662,0.01011,23.8463,0.0365345,0.68862,0.26157,0.1049,42.9026,0.372096,0,,36.0396,-4.9787
04D1oh,0.58879,0.01009,23.1335,0.0303924,-0.077305,0.20659,-0.071824,42.5021,0.220032,0,,36.2598,-4.2362
04D1pc,0.76865,0.00178,24.2636,0.0357991,-0.434616,0.33791,0.091841,43.2929,0.311675,0,,36.6037,-4.3994
04D1pg,0.51387,0.00161,23.3138,0.0319164,0.98811,0.1972,0.10301,42.2567,0.35966,0,,36.7673,-4.1753
04D1pp,0.73368,0.00176,23.7069,0.0302505,-1.38223,0.21307,-0.114244,42.9845,0.195902,0,,36.302,-4.7016
04D1pu,0.63777,0.00169,23.7472,0.0516864,-1.59949,0.37149,0.096759,42.5298,0.442879,0,,36.8686,-4.7449
04D1qd,0.76566,0.00178,23.9664,0.0335252,0.17992,0.27421,0.016494,43.2369,0.225434,0,,36.6378,-4.1072
04D1rh,0.43494,0.00156,22.293,0.0263641,0.80878,0.21002,-0.064072,41.7828,0.183674,0,,36.9464,-4.2538
04D1sa,0.58382,0.00166,23.3004,0.0314857,-0.445335,0.28823,-0.069032,42.6489,0.184752,0,,36.984,-4.1761
04D1si,0.7007,0.00174,23.583,0.0323915,0.1376,0.29792,-0.012145,42.917,0.223194,0,,36.2033,-4.569
04D1sk,0.66213,0.00147,23.8042,0.0320015,0.45278,0.37908,0.083271,42.9793,0.279772,0,,36.0949,-4.3536
04D2an,0.62183,0.01009,23.3052,0.0313838,-0.307084,0.56418,-0.049355,42.5894,0.275623,0,,150.218,2.0412
04D2cf,0.37052,0.00152,22.196,0.0492896,-0.854231,0.2151,-0.021378,41.3759,0.163241,0,,150.484,1.8795
04D2fp,0.41657,0.00155,22.2787,0.0266956,0.37739,0.12792,-0.056956,41.7295,0.149208,0,,149.867,2.321
04D2fs,0.3585,0.00151,22.1572,0.0269833,0.10146,0.10203,0.051992,41.1484,0.288995,0,,150.092,1.7654
04D2gb,0.45162,0.01007,22.635,0.0285378,-1.60336,0.17186,0.022769,41.5892,0.225346,0,,150.594,1.8942
04D2gc,0.52271,0.00162,23.0586,0.0273755,1.1143,0.20565,0.009597,42.3496,0.273927,0,,150.414,1.8831
04D2gp,0.73395,0.00176,23.9298,0.0507248,-1.35262,0.41314,-0.136739,43.22,0.388289,0,,149.835,2.5089
