# TESS Sector 70 light curve for TRAPPIST-1 (TIC 278892590, T = 13.85).
# Source: MAST / TESS SPOC 2-minute PDCSAP via lightkurve search_lightcurve(
#   'TRAPPIST-1', mission='TESS', exptime=120).
# relative_flux = PDCSAP / median. detrended_flux = lightkurve flatten(
#   window_length=241 cadences ~ 8 h, polyorder=2, niters=3, sigma=3) / median;
#   the 8 h window is far longer than the 36 min transit, so transits survive.
# Flares and the mid-sector downlink gap are left in — both are real.
# Point-to-point scatter is 1.37%, so a single 0.95% transit is
#   invisible; folding on the period is what reveals it.
# TRAPPIST-1 b ephemeris measured from THIS light curve by box-least-squares
#   (astropy BoxLeastSquares, no catalog input): period 1.510919 d,
#   mid-transit 3209.809538 BTJD, duration 30.0 min, 13 transits observed.
#   Published period for comparison: 1.510826 d.
# Columns: btjd_day = BJD_TDB - 2457000; fluxes are dimensionless.
btjd_day,relative_flux,detrended_flux
3209.115788,1.017182,1.014544
3209.117177,1.017992,1.015342
3209.118565,1.000793,0.998180
3209.119954,1.002027,0.999402
3209.121343,0.988555,0.985956
3209.122732,0.993658,0.991037
3209.124121,1.010010,1.007338
3209.125510,0.967106,0.964540
3209.126899,0.999760,0.997100
3209.128288,0.998806,0.996141
3209.129676,1.031589,1.028829
3209.131065,1.008368,1.005664
3209.132454,0.994348,0.991675
3209.133843,1.018580,1.015834
3209.135232,0.990014,0.987339
3209.136621,1.011437,1.008699
3209.138010,0.996681,0.993976
3209.139398,1.013929,1.011172
3209.140787,1.022678,1.019892
3209.142176,1.006180,1.003433
3209.143565,1.012305,1.009537
3209.144954,1.010010,1.007243
3209.146343,1.006451,1.003690
3209.147732,1.012247,1.009465
3209.149120,1.003393,1.000632
3209.150509,0.998848,0.996096
3209.151898,0.985141,0.982423
3209.153287,1.012044,1.009249
3209.154676,0.984381,0.981659
3209.156065,1.011674,1.008873
3209.157454,1.020340,1.017513
3209.158843,0.998441,0.995672
3209.160231,1.012069,1.009260
3209.161620,1.003910,1.001121
3209.163009,0.977455,0.974738
3209.164398,1.010081,1.007273
3209.165787,0.999561,0.996780
3209.167176,1.004663,1.001867
3209.168565,1.008314,1.005507
3209.169953,0.995274,0.992503
3209.171342,0.995508,0.992736
3209.172731,0.999170,0.996388
3209.174120,0.988806,0.986053
3209.175509,0.974513,0.971800
3209.176898,1.022661,1.019814
3209.178287,0.987174,0.984426
3209.179675,0.981061,0.978331
3209.181064,1.002060,0.999274
3209.182453,0.979747,0.977024
3209.183842,0.992778,0.990021
3209.185231,1.003365,1.000580
3209.186620,0.990581,0.987833
3209.188009,1.016985,1.014167
3209.189397,0.996809,0.994050
3209.190786,0.991153,0.988412
3209.192175,1.003987,1.001213
3209.193564,1.013770,1.010973
3209.194953,1.007675,1.004898
3209.196342,1.002409,0.999651
3209.197731,1.001340,0.998589
3209.199120,1.003767,1.001013
3209.200508,0.983895,0.981200
3209.201897,0.992546,0.989832
3209.203286,1.022302,1.019512
3209.204675,1.005566,1.002826
3209.206064,0.963268,0.960649
3209.207453,0.999875,0.997162
3209.208842,0.997422,0.994721
3209.210230,1.006625,1.003906
3209.211619,1.021432,1.018679
3209.213008,1.006355,1.003649
3209.214397,1.015397,1.012673
3209.215786,1.016767,1.014047
3209.217175,1.000343,0.997674
3209.218564,1.001828,0.999163
3209.219952,0.998841,0.996191
3209.221341,0.990984,0.988362
3209.222730,1.026847,1.024139
3209.224119,0.988453,0.985855
3209.225508,0.992362,0.989761
3209.226897,1.017279,1.014622
3209.228286,1.007518,1.004896
3209.229674,0.988284,0.985721
3209.231063,1.011873,1.009258
3209.232452,1.033818,1.031157
3209.233841,1.005067,1.002489
3209.235230,1.010417,1.007836
3209.236619,0.995359,0.992827
3209.238008,0.980966,0.978481
3209.239397,1.013450,1.010893
3209.240785,1.009236,1.006701
3209.242174,1.015685,1.013145
3209.243563,0.995437,0.992960
3209.244952,1.026176,1.023634
3209.246341,0.988128,0.985692
3209.247730,1.014232,1.011744
3209.249119,0.994347,0.991920
3209.250507,1.017301,1.014831
3209.251896,1.009736,1.007297
3209.253285,0.995566,0.993175
3209.254674,0.992872,0.990501
3209.256063,0.994969,0.992605
3209.257452,0.999586,0.997226
3209.258841,1.014795,1.012413
3209.260229,1.007822,1.005471
3209.261618,1.002279,0.999955
3209.263007,0.988251,0.985974
3209.264396,1.007760,1.005453
3209.265785,1.042661,1.040290
3209.267174,0.996424,0.994173
3209.268563,0.994075,0.991845
3209.269951,0.976855,0.974679
3209.271340,0.987909,0.985725
3209.272729,1.013971,1.011746
3209.274118,0.987069,0.984919
3209.275507,0.999869,0.997708
3209.276896,0.976111,0.974018
3209.278285,1.022950,1.020774
3209.279674,1.009259,1.007130
3209.281062,1.000223,0.998130
3209.282451,1.020771,1.018654
3209.283840,0.989681,0.987456
3209.285229,0.983489,0.981311
3209.286618,1.016441,1.014187
3209.288007,0.999744,0.997576
3209.289396,1.004334,1.002270
3209.290784,1.013744,1.011709
3209.292173,1.007303,1.005196
3209.293562,0.999856,0.997904
3209.294951,1.024171,1.022293
3209.296340,0.997974,0.996283
3209.297729,0.999255,0.997380
3209.299118,0.981329,0.979435
3209.300506,0.994676,0.992918
3209.301895,0.991623,0.989863
3209.303284,0.992371,0.990682
3209.304673,1.011109,1.009380
3209.306062,1.011115,1.009486
3209.307451,0.989707,0.988020
3209.308840,0.994742,0.992837
3209.310228,0.987836,0.986069
3209.311617,0.997130,0.995415
3209.313006,1.022281,1.020494
3209.314395,0.996681,0.994958
3209.315784,0.993894,0.992185
3209.317173,0.990320,0.988644
