# B-band light curves for three nearby Type Ia supernovae spanning stretch.
# Source: Open Supernova Catalog (Guillochon et al. 2017, ApJ 835, 64),
#   https://api.astrocats.space. Downloaded 2026-08-17.
#
# SN 2011fe (M101, a Cepheid calibrator, normal stretch), SN 2000cn (fast
#   decliner) and SN 2005eq (slow decliner). B band only, nightly median in a
#   window of −18 to +55 days from the brightest B point, so a long-lived SN
#   does not drag the film into nebular months.
#
# time_mjd is the median MJD of the night; days_from_peak is that minus the
#   MJD of the brightest B observation (not a fitted maximum). b_mag_error is
#   the median reported uncertainty that night, blank when none was given.
# n_obs is how many B points were combined into the night.
name,time_mjd,days_from_peak,b_mag,b_mag_error,n_obs
2011fe,55797.9595,-16.834,15.5060,0.0500,2
2011fe,55798.8650,-15.929,14.3450,0.0230,4
2011fe,55799.2094,-15.585,13.9800,0.0320,9
2011fe,55800.6120,-14.182,12.9470,0.0290,11
2011fe,55801.8100,-12.984,12.3200,0.0200,3
2011fe,55802.7900,-12.004,11.8200,0.0195,6
2011fe,55803.4829,-11.311,11.5170,0.0135,6
2011fe,55804.8058,-9.988,10.9830,0.0110,5
2011fe,55805.7859,-9.008,10.8100,0.0230,4
2011fe,55806.7800,-8.014,10.6400,0.0150,7
2011fe,55807.7767,-7.017,10.4595,0.0135,4
2011fe,55808.4646,-6.329,10.3180,0.0305,4
2011fe,55809.1000,-5.694,10.2675,0.0230,2
2011fe,55810.7989,-3.995,10.0595,0.0135,4
2011fe,55811.1000,-3.694,10.0990,0.0235,2
2011fe,55812.4664,-2.328,9.9615,0.0145,2
2011fe,55813.7798,-1.014,9.9210,0.0110,3
2011fe,55814.7940,0.000,9.9310,0.0110,5
2011fe,55815.1400,0.346,9.9360,0.0150,3
2011fe,55816.7500,1.956,9.9940,0.0110,5
2011fe,55817.7400,2.946,10.0000,0.0160,7
2011fe,55818.7632,3.969,10.0600,0.0110,4
2011fe,55819.7400,4.946,10.0680,0.0110,5
2011fe,55820.7300,5.936,10.1710,0.0110,5
2011fe,55821.7663,6.972,10.2270,0.0110,3
2011fe,55822.0750,7.281,10.3015,0.0185,4
2011fe,55823.4189,8.625,10.3970,0.0130,2
2011fe,55824.7200,9.926,10.5500,0.0100,3
2011fe,55825.7573,10.963,10.6130,0.0110,5
2011fe,55826.7701,11.976,10.6490,0.0110,1
2011fe,55827.3921,12.598,10.8160,0.0195,2
2011fe,55828.7608,13.967,10.8990,0.0110,1
2011fe,55829.7400,14.946,11.0480,0.0110,5
2011fe,55830.7366,15.943,11.1685,0.0110,4
2011fe,55831.7521,16.958,11.2950,0.0110,3
2011fe,55832.7386,17.945,11.4215,0.0155,4
2011fe,55833.7956,19.002,11.5930,0.0110,1
2011fe,55834.7442,19.950,11.7010,0.0110,3
2011fe,55835.7666,20.973,11.7615,0.0110,4
2011fe,55836.7436,21.950,11.9140,0.0110,1
2011fe,55837.7484,22.954,11.9300,0.0110,3
2011fe,55838.7657,23.972,12.1580,0.0110,2
2011fe,55839.7439,24.950,12.2320,0.0110,3
2011fe,55840.3660,25.572,12.3105,0.0250,2
2011fe,55841.0000,26.206,12.4070,0.0490,1
2011fe,55842.0000,27.206,12.5030,0.0380,1
2011fe,55843.7462,28.952,12.5975,0.0255,2
2011fe,55844.0324,29.238,12.6315,0.0230,2
2011fe,55845.7354,30.941,12.7170,0.0110,3
2011fe,55847.7254,32.931,12.8170,0.0110,1
2011fe,55848.2743,33.480,12.8355,0.0290,2
2011fe,55849.6444,34.850,12.9505,0.0200,2
2011fe,55850.7137,35.920,12.9620,0.0290,1
2011fe,55851.7248,36.931,12.9830,0.0200,8
2011fe,55852.4000,37.606,13.0980,0.0290,7
2011fe,55853.3107,38.517,13.0090,0.0290,3
2011fe,55854.8239,40.030,13.0900,0.0290,2
2011fe,55855.6867,40.893,13.1370,0.0290,4
2011fe,55856.4196,41.626,13.1375,0.0290,2
2011fe,55857.5266,42.733,13.1760,0.0300,7
2011fe,55858.7567,43.963,13.2620,0.0230,2
2011fe,55859.5308,44.737,13.1980,0.0290,1
2011fe,55860.0697,45.276,13.2120,0.0300,5
2011fe,55861.6006,46.807,13.2060,0.0300,3
2011fe,55862.5029,47.709,13.2630,0.0300,4
2011fe,55863.1800,48.386,13.2910,0.0300,3
2011fe,55864.2707,49.477,13.3060,0.0300,4
2011fe,55865.0830,50.289,13.3330,0.0300,4
2011fe,55866.7506,51.957,13.3155,0.0300,4
2011fe,55867.2872,52.493,13.3535,0.0300,6
2011fe,55868.0893,53.295,13.3200,0.0300,5
2011fe,55869.0923,54.298,13.3910,0.0300,4
2000cn,51698.4400,-7.990,17.8330,0.0320,1
2000cn,51699.3500,-7.080,17.6180,0.0200,1
2000cn,51700.3900,-6.040,17.3515,0.0300,2
2000cn,51701.4100,-5.020,17.1740,0.0210,2
2000cn,51702.4550,-3.975,16.9950,0.0240,2
2000cn,51703.3000,-3.130,16.9210,0.0180,1
2000cn,51705.4800,-0.950,16.8430,0.0290,1
2000cn,51706.4300,0.000,16.7350,0.0170,1
2000cn,51707.4200,0.990,16.8260,0.0420,1
2000cn,51708.4000,1.970,16.8020,0.0200,1
2000cn,51709.3650,2.935,16.9000,0.0265,2
2000cn,51710.3750,3.945,16.9475,0.0315,2
2000cn,51711.3100,4.880,17.0365,0.0275,2
2000cn,51712.3350,5.905,17.0985,0.0325,2
2000cn,51713.3800,6.950,17.2220,0.0430,1
2000cn,51714.4300,8.000,17.3580,0.0300,1
2000cn,51715.3900,8.960,17.4135,0.0325,2
2000cn,51716.2400,9.810,17.5570,0.0200,1
2000cn,51717.4000,10.970,17.7260,0.0310,1
2000cn,51719.4200,12.990,18.0020,0.0530,1
2000cn,51721.3700,14.940,18.2660,0.0480,1
2000cn,51723.3800,16.950,18.5090,0.0680,1
2000cn,51726.3500,19.920,18.9080,0.0900,1
2000cn,51728.4700,22.040,19.3010,0.0440,1
2000cn,51729.3700,22.940,19.1640,0.1490,1
2000cn,51732.3300,25.900,19.4350,0.1620,1
2000cn,51735.3300,28.900,19.5620,0.1180,1
2000cn,51738.3300,31.900,19.6430,0.2910,1
2000cn,51744.2900,37.860,19.6470,0.1880,1
2000cn,51749.3000,42.870,19.9590,0.2300,1
2000cn,51758.2200,51.790,20.1480,0.0700,1
2005eq,53646.4200,-8.020,16.8610,0.0220,1
2005eq,53647.6905,-6.749,16.7490,0.0145,2
2005eq,53648.4300,-6.010,16.6700,0.0130,1
2005eq,53649.6564,-4.784,16.6055,0.0130,2
2005eq,53650.3779,-4.062,16.5840,0.0100,2
2005eq,53652.3800,-2.060,16.5150,0.0140,1
2005eq,53654.4400,0.000,16.5090,0.0140,1
2005eq,53655.5674,1.127,16.5995,0.0120,2
2005eq,53656.4100,1.970,16.5630,0.0110,1
2005eq,53658.2000,3.760,16.6510,0.0100,1
2005eq,53659.1735,4.733,16.6790,0.0090,1
2005eq,53662.2518,7.812,16.7950,0.0090,1
2005eq,53663.2211,8.781,16.8670,0.0090,1
2005eq,53664.6640,10.224,16.9760,0.0235,2
2005eq,53665.5768,11.137,17.0855,0.0145,2
2005eq,53666.6421,12.202,17.1590,0.0180,4
2005eq,53668.3200,13.880,17.2330,0.0220,1
2005eq,53669.2186,14.779,17.3600,0.0080,1
2005eq,53670.8158,16.376,17.6430,0.0190,1
2005eq,53671.2611,16.821,17.5630,0.0110,1
2005eq,53672.3600,17.920,17.6510,0.0390,1
2005eq,53673.2651,18.825,17.7880,0.0110,1
2005eq,53674.4150,19.975,17.8465,0.0200,2
2005eq,53675.5370,21.097,18.0850,0.0210,2
2005eq,53676.8657,22.426,18.2640,0.0280,1
2005eq,53677.8759,23.436,18.3230,0.0260,1
2005eq,53678.8562,24.416,18.4570,0.0270,1
2005eq,53679.6485,25.209,18.4220,0.0290,2
2005eq,53680.8280,26.388,18.6620,0.0280,1
2005eq,53681.8593,27.419,18.6670,0.0330,1
2005eq,53682.5726,28.133,18.7230,0.0410,2
2005eq,53683.2256,28.786,18.7090,0.0170,1
2005eq,53685.4000,30.960,18.7550,0.0590,1
2005eq,53687.2754,32.835,18.8455,0.0565,2
2005eq,53692.3700,37.930,19.0790,0.1390,1
2005eq,53694.5235,40.083,19.3790,0.0695,2
2005eq,53695.5833,41.143,19.4565,0.1190,2
2005eq,53698.2254,43.785,19.4470,0.0405,2
2005eq,53699.1902,44.750,19.5120,0.0290,1
2005eq,53701.3100,46.870,19.3600,0.0750,1
2005eq,53705.8502,51.410,19.6730,0.0730,1
2005eq,53707.2409,52.801,19.7170,0.0310,1
